year,day,hour,kp_index,dst_indexc,f10.7_index
2024,12,0,0,4,180.3
2024,12,1,0,5,180.3
2024,12,2,0,5,180.3
2024,12,3,13,6,180.3
2024,12,4,13,4,180.3
2024,12,5,13,1,180.3
2024,12,6,3,1,180.3
2024,12,7,3,-1,180.3
2024,12,8,3,-3,180.3
2024,12,9,10,-4,180.3
2024,12,10,10,-5,180.3
2024,12,11,10,-7,180.3
2024,12,12,13,-6,180.3
2024,12,13,13,-4,180.3
2024,12,14,13,-4,180.3
2024,12,15,13,-8,180.3
2024,12,16,13,-12,180.3
2024,12,17,13,-11,180.3
2024,12,18,7,-11,180.3
2024,12,19,7,-10,180.3
2024,12,20,7,-8,180.3
2024,12,21,10,-4,180.3
2024,12,22,10,-1,180.3
2024,12,23,10,-2,180.3
2024,13,0,3,-4,179.4
2024,13,1,3,-3,179.4
2024,13,2,3,0,179.4
2024,13,3,0,1,179.4
2024,13,4,0,1,179.4
2024,13,5,0,0,179.4
2024,13,6,3,0,179.4
2024,13,7,3,-1,179.4
2024,13,8,3,-4,179.4
2024,13,9,7,-5,179.4
2024,13,10,7,-4,179.4
2024,13,11,7,-6,179.4
2024,13,12,7,-6,179.4
2024,13,13,7,-6,179.4
2024,13,14,7,-4,179.4
2024,13,15,7,-4,179.4
2024,13,16,7,-4,179.4
2024,13,17,7,-3,179.4
2024,13,18,3,0,179.4
2024,13,19,3,-2,179.4
2024,13,20,3,-3,179.4
2024,13,21,7,-2,179.4
2024,13,22,7,-2,179.4
2024,13,23,7,0,179.4
2024,14,0,7,1,181.7
2024,14,1,7,1,181.7
2024,14,2,7,0,181.7
2024,14,3,13,0,181.7
2024,14,4,13,1,181.7
2024,14,5,13,-1,181.7
2024,14,6,17,-3,181.7
2024,14,7,17,-5,181.7
2024,14,8,17,-4,181.7
2024,14,9,20,-5,181.7
2024,14,10,20,-9,181.7
2024,14,11,20,-9,181.7
2024,14,12,17,-9,181.7
2024,14,13,17,-8,181.7
2024,14,14,17,-8,181.7
2024,14,15,20,-14,181.7
2024,14,16,20,-21,181.7
2024,14,17,20,-24,181.7
2024,14,18,20,-24,181.7
2024,14,19,20,-22,181.7
2024,14,20,20,-21,181.7
2024,14,21,20,-13,181.7
2024,14,22,20,-12,181.7
2024,14,23,20,-11,181.7
2024,15,0,10,-9,176.6
2024,15,1,10,-10,176.6
2024,15,2,10,-7,176.6
2024,15,3,7,-2,176.6
2024,15,4,7,-2,176.6
2024,15,5,7,-3,176.6
2024,15,6,17,-5,176.6
2024,15,7,17,-10,176.6
2024,15,8,17,-13,176.6
2024,15,9,17,-13,176.6
2024,15,10,17,-12,176.6
2024,15,11,17,-10,176.6
2024,15,12,23,-5,176.6
2024,15,13,23,0,176.6
2024,15,14,23,-6,176.6
2024,15,15,3,-9,176.6
2024,15,16,3,-13,176.6
2024,15,17,3,-12,176.6
2024,15,18,13,-8,176.6
2024,15,19,13,-3,176.6
2024,15,20,13,-1,176.6
2024,15,21,17,2,176.6
2024,15,22,17,4,176.6
2024,15,23,17,-1,176.6
2024,16,0,27,-4,173.8
2024,16,1,27,-6,173.8
2024,16,2,27,-9,173.8
2024,16,3,20,-6,173.8
2024,16,4,20,-7,173.8
2024,16,5,20,-3,173.8
2024,16,6,7,-1,173.8
2024,16,7,7,-1,173.8
2024,16,8,7,-6,173.8
2024,16,9,7,-8,173.8
2024,16,10,7,-9,173.8
2024,16,11,7,-9,173.8
2024,16,12,7,-8,173.8
2024,16,13,7,-1,173.8
2024,16,14,7,3,173.8
2024,16,15,10,0,173.8
2024,16,16,10,-4,173.8
2024,16,17,10,-3,173.8
2024,16,18,10,4,173.8
2024,16,19,10,2,173.8
2024,16,20,10,2,173.8
2024,16,21,3,0,173.8
2024,16,22,3,1,173.8
2024,16,23,3,-1,173.8
2024,17,0,7,-2,168.5
2024,17,1,7,-5,168.5
2024,17,2,7,-5,168.5
2024,17,3,3,-4,168.5
2024,17,4,3,-2,168.5
2024,17,5,3,0,168.5
2024,17,6,13,-1,168.5
2024,17,7,13,-3,168.5
2024,17,8,13,-3,168.5
2024,17,9,7,-5,168.5
2024,17,10,7,-6,168.5
2024,17,11,7,-7,168.5
2024,17,12,7,-5,168.5
2024,17,13,7,0,168.5
2024,17,14,7,4,168.5
2024,17,15,7,3,168.5
2024,17,16,7,1,168.5
2024,17,17,7,3,168.5
2024,17,18,7,4,168.5
2024,17,19,7,7,168.5
2024,17,20,7,10,168.5
2024,17,21,10,11,168.5
2024,17,22,10,10,168.5
2024,17,23,10,12,168.5
2024,18,0,10,12,157.1
2024,18,1,10,8,157.1
2024,18,2,10,6,157.1
2024,18,3,10,7,157.1
2024,18,4,10,4,157.1
2024,18,5,10,4,157.1
2024,18,6,10,8,157.1
2024,18,7,10,8,157.1
2024,18,8,10,1,157.1
2024,18,9,17,-4,157.1
2024,18,10,17,-9,157.1
2024,18,11,17,-10,157.1
2024,18,12,13,-10,157.1
2024,18,13,13,-14,157.1
2024,18,14,13,-11,157.1
2024,18,15,13,-12,157.1
2024,18,16,13,-11,157.1
2024,18,17,13,-8,157.1
2024,18,18,23,-7,157.1
2024,18,19,23,-11,157.1
2024,18,20,23,-10,157.1
2024,18,21,23,-5,157.1
2024,18,22,23,-5,157.1
2024,18,23,23,-7,157.1
